"","group","name"
"1",1,"kim j"
"2",2,"junaid k"
"3",2,"ejaz h"
"4",2,"abdalla a e"
"5",2,"abosalif k o a"
"6",2,"younas s"
"7",2,"rehman a"
"8",3,"agrawal v"
"9",3,"sharma d"
"10",1,"gurunathan s"
"11",1,"qasim m"
"12",1,"choi y"
"13",1,"do j t"
"14",1,"park c"
"15",1,"hong k"
"16",1,"kim j -h"
"17",1,"song h"
"18",2,"bandyopadhyay d"
"19",2,"hajra a"
"20",2,"das a"
"21",2,"chakraborty s"
"22",2,"patel n"
"23",2,"amgai b"
"24",2,"lavie c j"
"25",1,"siddiqui a j"
"26",1,"ashraf s a"
"27",1,"alreshidi m"
"28",1,"patel m"
"29",1,"jahan s"
"30",1,"snoussi m"
"31",1,"adnan m"
"32",4,"samuel j"
"33",4,"ali g g m"
"34",4,"samuel y"
"35",4,"pelaez a"
"36",5,"soundararajan v"
"37",5,"sahasranamam s"
"38",5,"jain t"
"39",6,"eggert a"
"40",6,"kleinaltenkamp m"
"41",6,"ulaga w"
"42",7,"mont o"
"43",7,"zvolska l"
"44",8,"prata j c"
"45",8,"walker t r"
"46",8,"duarte a c"
"47",8,"rocha-santos t"
"48",8,"ibn-mohammed t"
"49",8,"acquaye a"
"50",8,"fujii h"
"51",9,"norouzi n"
"52",9,"enevoldsen p"
"53",8,"khan k s"
"54",8,"paris c"
"55",8,"rocchi p"
"56",2,"kreer c"
"57",2,"zehner m"
"58",2,"ercanoglu m s"
"59",2,"gieselmann l"
"60",2,"schommers p"
"61",2,"vanshylla k"
"62",2,"krähling v"
"63",2,"cohen-dvashi h"
"64",2,"diskin r"
"65",2,"gruell h"
"66",2,"klein f"
"67",10,"pham p v"
"68",10,"vu n b"
"69",11,"rudiansyah m"
"70",11,"bandiara r"
"71",2,"alexander j"
"72",2,"strand t a"
"73",2,"alehagen u"
"74",2,"aaseth j"
"75",12,"engelman d t"
"76",12,"lother s"
"77",12,"george i"
"78",12,"ailawadi g"
"79",12,"atluri p"
"80",12,"haft j w"
